city,weather
Buyeo,Clouds
Boryeong,Clouds
Cheongyang,Clear
Hongcheon,Clear
Hoengseong,Clear
Yeongwol,Clear
Mungyeong,Rain
Yeoju,Mist
Yangpyeong,Clear
Sinan,Clouds
Yeonggwang,Clouds
Uiryeong,Clouds
Gyeongju,Clouds
Seoul,Clear
Jeju,Clouds
Cheongdo,Rain
Pyeongchang,Clear
Boseong,Rain
Changwon,Rain
Suncheon,Clouds
Damyang,Rain
Sancheong,Clear
Hapcheon,Rain
Seogwipo,Clear
Changnyeong,Rain
Busan,Rain
Taean,Clouds
Gwacheon,Clouds
Daegu,Rain
Ulsan,Rain
Geoje,Clear
Tongyeong,Clear
Yeosu,Clouds
Jindo,Clear
Yongin,Clear
Paju,Clouds
Suwon,Clear
Gangneung,Clouds
Goyang,Clear
Jeonju,Rain
Gapyeong,Clouds
Jangseong,Rain
Naju,Rain
Pohang,Clouds
Uljin,Clear
Samcheok,Rain
Gwangju,Rain
Chungju,Clouds
Donghae,Clear
Cheongsong,Rain
Yeongdeok,Clear
Yangyang,Clouds
Icheon,Clear
